title,link,summary,year,month,day
Public preview: New General-Purpose VMs - Dlsv5 and Dldsv5,https://azure.microsoft.com/ja-jp/updates/public-preview-new-generalpurpose-vms-dlsv5-and-dldsv5/,The Dlsv5 and Dldsv5 VM series provide 2GiBs per vCPU and can offer lower price points within the general-purpose Azure Virtual Machines portfolio.,2023,2,20
Public preview: Serverless Hyperscale in Azure SQL Database,https://azure.microsoft.com/ja-jp/updates/public-preview-serverless-hyperscale-in-azure-sql-database/,Automatically scale compute based on workload demand using serverless for Hyperscale in Azure SQL Database.,2023,2,15
Generally Available: Azure Functions Linux Elastic Premium plan increased maximum scale-out limits,https://azure.microsoft.com/ja-jp/updates/generally-available-azure-functions-linux-elastic-premium-plan-increased-maximum-scaleout-limits-4/,Maximum scale-out limits for Functions Linux Premium plans have been increased in several regions.,2023,2,15
Generally Available: Availability zones support for Azure Functions in new regions,https://azure.microsoft.com/ja-jp/updates/generally-available-availability-zones-support-for-azure-functions-in-new-regions/,"You can now use Availability Zones with Azure Functions in Norway East, South Africa North, Switzerland North, and UAE North.",2023,2,15
Generally Available: Durable Functions support for .NET isolated model,https://azure.microsoft.com/ja-jp/updates/generally-available-durable-functions-support-for-net-isolated-model/,Durable Functions support for .NET 7.0 running in the isolated worker process is now generally available.,2023,2,15
Public preview: Major version upgrade in Azure Database for PostgreSQL – Flexible Server,https://azure.microsoft.com/ja-jp/updates/public-preview-major-version-upgrade-in-azure-database-for-postgresql-flexible-server/,Eliminate the need to set up new servers and complete manual upgrades with in-place major version upgrade for Azure Database for PostgreSQL – Flexible Server.,2023,2,15
General availability: Encryption using CMK for Azure Database for PostgreSQL – Flexible Server,https://azure.microsoft.com/ja-jp/updates/general-availability-encryption-using-cmk-for-azure-database-for-postgresql-flexible-server-2/,Use infrastructure encryption to add an additional layer of encryption for data at rest using customer-managed keys.,2023,2,15
Public preview: VBS enclaves for Always Encrypted in Azure SQL Database,https://azure.microsoft.com/ja-jp/updates/public-preview-vbs-enclaves-for-always-encrypted-in-azure-sql-database/,VBS enclaves enable you with the flexibility to use Always Encrypted with secure enclaves in all Azure SQL Database offerings.,2023,2,15
Public preview: Cluster key index in Azure Cosmos DB for Apache Cassandra,https://azure.microsoft.com/ja-jp/updates/public-preview-cluster-key-index-in-azure-cosmos-db-for-apache-cassandra/,Improve application performance by creating indexes on your cluster key index and run faster queries in Azure Cosmos DB for Apache Cassandra.,2023,2,15
Azure SQL—General availability updates for mid-February 2023,https://azure.microsoft.com/ja-jp/updates/azure-sql-general-availability-updates-for-midfebruary-2023/,General availability enhancements and updates released for Azure SQL in mid-February 20223,2023,2,15
General availability: Azure Active Directory for Azure Database for PostgreSQL – Flexible Server,https://azure.microsoft.com/ja-jp/updates/general-availability-azure-active-directory-for-azure-database-for-postgresql-flexible-server-2/,"Use Azure Active Directory-based authentication methods using Azure Active Directory principals, managed identities, and groups to connect and access Azure Database for PostgreSQL - Flexible Server.",2023,2,15
General availability: Improved geo-replication for Azure Cache for Redis,https://azure.microsoft.com/ja-jp/updates/general-availability-improved-georeplication-for-azure-cache-for-redis-2/,Utilize new functionality that makes passive geo-replication more seamless and transparent.,2023,2,15
Public Preview: SDK type bindings,https://azure.microsoft.com/ja-jp/updates/public-preview-sdk-type-bindings/,Azure Functions .NET isolated worker now supports blob triggers and input bindings.,2023,2,15
Generally available: Azure Functions support for Python 3.10,https://azure.microsoft.com/ja-jp/updates/generally-available-azure-functions-support-for-python-310/,You can now develop Python 3.10 apps locally and deploy them to all Azure Functions plans.,2023,2,15
Public preview: Upgrade scheduler,https://azure.microsoft.com/ja-jp/updates/public-preview-upgrade-scheduler/,Use the upgrade scheduler feature instead of the planned maintenance feature for more flexibility.,2023,2,15
General availability: Automatic Backup for App Service Environment and Azure Functions Dedicated Hosting,https://azure.microsoft.com/ja-jp/updates/general-availability-automatic-backup-for-app-service-environment-and-azure-functions-dedicated-hosting/,General availability: Automatic Backup for App Service Environment and Azure Functions Dedicated Hosting,2023,2,6
Generally available: New storage backend for Durable Functions — Microsoft Netherite & MSSQL,https://azure.microsoft.com/ja-jp/updates/generally-available-new-storage-backend-for-durable-functions-microsoft-netherite-mssql/,You can now use storage providers other than Azure Storage for Durable Functions.,2023,2,1
Generally Available: Azure Kubernetes Service introduces two pricing tiers: Free and Standard,https://azure.microsoft.com/ja-jp/updates/generally-available-azure-kubernetes-service-introduces-two-pricing-tiers-free-and-standard/,Identify and use the most appropriate AKS tier for your projects.,2023,2,1
General availability: Trusted launch for Azure VMs in Azure for US Government regions,https://azure.microsoft.com/ja-jp/updates/general-availability-trusted-launch-for-azure-vms-in-azure-for-us-government-regions/,"Allows you to enable secure boot, vTPM, virtualization-based security, and Microsoft Defender for Cloud integration, providing additional layers of defense against sophisticated threats.",2023,2,1
Azure SQL Gen 4 hardware approaching end of life 31 March 2023,https://azure.microsoft.com/ja-jp/updates/azure-sql-gen-4-hardware-approaching-end-of-life-31-march-2023/,Intel E5-2673 (Haswell) v3-based CPUs used in Gen 4 hardware will no longer be supported after 31 March 2023.  Transition to newer compute hardware for your Azure SQL databases and instances.,2023,2,1
